-180050000.0 -2.45
-180000000.0 -2.887
-179950000.0 -3.316
-179900000.0 -3.746
-179850000.0 -4.167
-179800000.0 -4.588
-179750000.0 -5.0
-179700000.0 -5.412
-179650000.0 -5.813
-179600000.0 -6.214
-179550000.0 -6.607
-179500000.0 -7.0
-179450000.0 -7.385
-179400000.0 -7.77
-179350000.0 -8.146
-179300000.0 -8.522
-179250000.0 -8.887
-179200000.0 -9.252
-179150000.0 -9.61
-179100000.0 -9.967
-179050000.0 -10.317
-179000000.0 -10.667
-178950000.0 -11.006
-178900000.0 -11.345
-178850000.0 -11.674
-178800000.0 -12.003
-178750000.0 -12.324
-178700000.0 -12.645
-178650000.0 -12.958
-178600000.0 -13.271
-178550000.0 -13.572
-178500000.0 -13.872
-178450000.0 -14.163
-178400000.0 -14.454
-178350000.0 -14.736
-178300000.0 -15.017
-178250000.0 -15.288
-178200000.0 -15.559
-178150000.0 -15.814
-178100000.0 -16.069
-178050000.0 -16.313
-178000000.0 -16.557
-177950000.0 -16.789
-177900000.0 -17.022
-177850000.0 -17.237
-177800000.0 -17.453
-177750000.0 -17.651
-177700000.0 -17.85
-177650000.0 -18.035
-177600000.0 -18.22
-177550000.0 -18.39
-177500000.0 -18.561
-177450000.0 -18.706
-177400000.0 -18.851
-177350000.0 -18.979
-177300000.0 -19.107
-177250000.0 -19.219
-177200000.0 -19.33
-177150000.0 -19.417
-177100000.0 -19.505
-177050000.0 -19.567
-177000000.0 -19.629
-176950000.0 -19.673
-176900000.0 -19.717
-176850000.0 -19.74
-176800000.0 -19.764
-176750000.0 -19.756
-176700000.0 -19.747
-176650000.0 -19.719
-176600000.0 -19.69
-176550000.0 -19.641
-176500000.0 -19.591
-176450000.0 -19.512
-176400000.0 -19.432
-176350000.0 -19.323
-176300000.0 -19.215
-176250000.0 -19.082
-176200000.0 -18.95
-176150000.0 -18.791
-176100000.0 -18.633
-176050000.0 -18.432
-176000000.0 -18.231
-175950000.0 -18.001
-175900000.0 -17.771
-175850000.0 -17.511
-175800000.0 -17.251
-175750000.0 -16.95
-175700000.0 -16.65
-175650000.0 -16.31
-175600000.0 -15.97
-175550000.0 -15.603
-175500000.0 -15.236
-175450000.0 -14.842
-175400000.0 -14.449
-175350000.0 -14.023
-175300000.0 -13.598
-175250000.0 -13.148
-175200000.0 -12.698
-175150000.0 -12.23
-175100000.0 -11.761
-175050000.0 -11.276
-175000000.0 -10.791
-174950000.0 -10.287
-174900000.0 -9.783
-174850000.0 -9.266
-174800000.0 -8.749
-174750000.0 -8.223
-174700000.0 -7.697
-174650000.0 -7.163
-174600000.0 -6.63
-174550000.0 -6.09
-174500000.0 -5.551
-174450000.0 -5.007
-174400000.0 -4.463
-174350000.0 -3.917
-174300000.0 -3.37
-174250000.0 -2.822
-174200000.0 -2.273
-174150000.0 -1.724
-174100000.0 -1.174
